,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,Year Aired,premiered,Premiered Season,broadcast,Broadcast Date,producers,licensors,studios,source,genres,Main Genre,theme,demographic,duration,duration (mins),rating,popularity,url
79,79,130,Karakai Jouzu no Takagi-san 3,8.46,16320,TV,12,Currently Airing,"Jan 8, 2022 to Mar 26, 2022",2022,Winter 2022,Winter,Saturdays at 01:25 (JST),Saturdays,"Magic Capsule, TOHO animation, Toho Music",Sentai Filmworks,Shin-Ei Animation,Manga,"Comedy, Romance, Slice of Life",Comedy,School,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1613,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
81,81,132,Golden Kamuy 3rd Season,8.45,51298,TV,12,Finished Airing,"Oct 5, 2020 to Dec 21, 2020",2020,Fall 2020,Fall,Mondays at 23:00 (JST),Mondays,"Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine",Funimation,Geno Studio,Manga,"Action, Adventure",Action,Historical,Seinen,23 min. per ep.,23 ,R - 17+ (violence & profanity),1510,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
82,82,133,Haikyuu!!,8.45,996882,TV,25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",2014,Spring 2014,Spring,Sundays at 17:00 (JST),Sundays,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha, Spacey Music Entertainment",Sentai Filmworks,Production I.G,Manga,"Comedy, Drama, Sports",Comedy,School,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,37,https://myanimelist.net/anime/20583/Haikyuu
83,83,134,Mo Dao Zu Shi: Xian Yun Pian,8.45,34633,ONA,8,Finished Airing,"Aug 3, 2019 to Sep 21, 2019",2019,Unknown,Unknown,Unknown,Unknown,Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Action, Mystery, Supernatural",Action,Historical,All,24 min. per ep.,24 ,R - 17+ (violence & profanity),1956,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
84,84,135,Yuu☆Yuu☆Hakusho,8.45,259045,TV,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",1992,Fall 1992,Fall,Unknown,Unknown,"Yomiko Advertising, Fuji TV",Funimation,Studio Pierrot,Manga,"Action, Comedy, Supernatural",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,279,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
86,86,137,Saiki Kusuo no Ψ-nan 2,8.44,297134,TV,24,Finished Airing,"Jan 17, 2018 to Jun 27, 2018",2018,Winter 2018,Winter,Wednesdays at 01:35 (JST),Wednesdays,"TV Tokyo, Shogakukan-Shueisha Productions, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.","None found, add some","J.C.Staff, Egg Firm",Manga,"Comedy, Slice of Life, Supernatural",Comedy,School,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,336,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
87,87,138,Wu Liuqi Zhi Xuanwu Guo Pian,8.44,10732,ONA,10,Finished Airing,"Jan 21, 2021 to May 5, 2021",2021,Unknown,Unknown,Unknown,Unknown,"Sharefun Studio, AHA Entertainment","None found, add some","None found, add some",Original,"Action, Adventure, Comedy, Drama, Mystery",Action,Unknown,All,16 min. per ep.,16 ,R - 17+ (violence & profanity),3891,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
89,89,140,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,628057,TV,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",2015,Winter 2015,Winter,Saturdays at 00:30 (JST),Saturdays,"Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",VIZ Media,David Production,Manga,"Action, Adventure, Drama, Supernatural",Action,Unknown,Shounen,23 min. per ep.,23 ,R - 17+ (violence & profanity),131,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
90,90,141,Grand Blue,8.43,316465,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",2018,Summer 2018,Summer,Saturdays at 02:55 (JST),Saturdays,"Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, Q-Tec, JR East Marketing & Communications, GYAO!","None found, add some",Zero-G,Manga,"Comedy, Slice of Life",Comedy,Unknown,Seinen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,260,https://myanimelist.net/anime/37105/Grand_Blue
91,91,142,Kono Oto Tomare! 2nd Season,8.43,67153,TV,13,Finished Airing,"Oct 6, 2019 to Dec 29, 2019",2019,Fall 2019,Fall,Sundays at 01:00 (JST),Sundays,"WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprise",Funimation,Platinum Vision,Manga,"Drama, Romance",Drama,Unknown,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1386,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_2nd_Season
92,92,143,Koukaku Kidoutai: Stand Alone Complex,8.43,145655,TV,26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",2002,Fall 2002,Fall,Unknown,Unknown,"Bandai Visual, Dentsu, Victor Entertainment, Animax, Kodansha, Trilogy Future Studio, Tokuma Shoten, Nippon Television Network","Bandai Entertainment, Manga Entertainment",Production I.G,Manga,"Action, Sci-Fi",Action,Unknown,Seinen,25 min. per ep.,25 ,R - 17+ (violence & profanity),490,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
93,93,144,Mononoke,8.43,73050,TV,12,Finished Airing,"Jul 13, 2007 to Sep 28, 2007",2007,Summer 2007,Summer,Unknown,Unknown,Fuji TV,Flatiron Film Company,Toei Animation,Original,"Fantasy, Horror, Mystery, Supernatural",Fantasy,Unknown,Seinen,22 min. per ep.,22 ,R - 17+ (violence & profanity),699,https://myanimelist.net/anime/2246/Mononoke
94,94,145,Saiki Kusuo no Ψ-nan,8.43,448143,TV,120,Finished Airing,"Jul 4, 2016 to Dec 26, 2016",2016,Summer 2016,Summer,Not scheduled once per week,Not schedule,"TV Tokyo, Shogakukan-Shueisha Productions, Pony Canyon, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.",Funimation,"J.C.Staff, Egg Firm",Manga,"Comedy, Slice of Life, Supernatural",Comedy,School,Shounen,5 min. per ep.,5 ,PG-13 - Teens 13 or older,139,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
97,97,148,Fumetsu no Anata e,8.42,196834,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",2021,Spring 2021,Spring,Mondays at 22:50 (JST),Mondays,"NHK, NHK Enterprises","None found, add some",Brain's Base,Manga,"Adventure, Drama, Supernatural",Adventure,Unknown,Shounen,25 min. per ep.,25 ,R - 17+ (violence & profanity),261,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
98,98,149,Major S5,8.42,37304,TV,25,Finished Airing,"Jan 10, 2009 to Jun 27, 2009",2009,Winter 2009,Winter,Unknown,Unknown,NHK,"None found, add some",SynergySP,Manga,"Comedy, Drama, Romance, Sports",Comedy,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2232,https://myanimelist.net/anime/5028/Major_S5
99,99,150,86 Part 2,8.41,62098,TV,12,Currently Airing,"Oct 3, 2021 to Mar 20, 2022",2021,Fall 2021,Fall,Sundays at 00:00 (JST),Sundays,"Aniplex, Kadokawa, Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"Action, Drama, Sci-Fi",Action,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),761,https://myanimelist.net/anime/48569/86_Part_2
101,101,1002,Shanhe Jian Xin,7.73,1768,ONA,16,Finished Airing,"Feb 8, 2021 to Mar 15, 2021",2021,Unknown,Unknown,Unknown,Unknown,Tencent Penguin Pictures,"None found, add some",Motion Magic,Novel,"Action, Fantasy",Action,Unknown,All,28 min. per ep.,28 ,PG-13 - Teens 13 or older,7141,https://myanimelist.net/anime/44196/Shanhe_Jian_Xin
102,102,1003,Tetsuwan Birdy Decode:02,7.73,22107,TV,12,Finished Airing,"Jan 10, 2009 to Mar 28, 2009",2009,Winter 2009,Winter,Saturdays at 02:10 (JST),Saturdays,"Aniplex, Shogakukan",Funimation,A-1 Pictures,Manga,"Action, Comedy, Sci-Fi",Action,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),2636,https://myanimelist.net/anime/5074/Tetsuwan_Birdy_Decode_02
103,103,1004,Yamato Nadeshiko Shichihenge♥,7.73,73307,TV,25,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",2006,Fall 2006,Fall,Wednesdays at 01:30 (JST),Wednesdays,"None found, add some","ADV Films, Funimation",Nippon Animation,Manga,,Unknown,Unknown,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1248,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥
104,104,1005,Arakawa Under the Bridge x Bridge,7.73,77887,TV,13,Finished Airing,"Oct 4, 2010 to Dec 27, 2010",2010,Fall 2010,Fall,Mondays at 01:35 (JST),Mondays,"Square Enix, Starchild Records, TV Tokyo Music, GANSIS","NIS America, Inc.",Shaft,Manga,"Comedy, Romance",Comedy,Unknown,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1221,https://myanimelist.net/anime/9074/Arakawa_Under_the_Bridge_x_Bridge
108,108,1009,Chuunibyou demo Koi ga Shitai!,7.73,676199,TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012",2012,Fall 2012,Fall,Thursdays at 00:30 (JST),Thursdays,"Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Light novel,"Comedy, Drama, Romance, Slice of Life",Comedy,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,85,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai
117,117,1018,Chi's Sweet Home: Atarashii Ouchi,7.72,10014,TV,104,Finished Airing,"Mar 30, 2009 to Sep 24, 2009",2009,Spring 2009,Spring,Not scheduled once per week,Not schedule,"None found, add some",Discotek Media,Madhouse,Manga,"Comedy, Slice of Life",Comedy,Unknown,Seinen,3 min. per ep.,3 ,G - All Ages,3569,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi
118,118,1019,D.Gray-man Hallow,7.72,70100,TV,13,Finished Airing,"Jul 5, 2016 to Sep 27, 2016",2016,Summer 2016,Summer,Tuesdays at 01:35 (JST),Tuesdays,"TV Tokyo, Aniplex, Dentsu, Shueisha",Funimation,TMS Entertainment,Manga,"Action, Adventure",Action,Unknown,Shounen,24 min. per ep.,24 ,R - 17+ (violence & profanity),1061,https://myanimelist.net/anime/32370/DGray-man_Hallow
121,121,1022,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.72,27593,TV,12,Finished Airing,"Apr 3, 2018 to Jun 26, 2018",2018,Spring 2018,Spring,Tuesdays at 21:00 (JST),Tuesdays,Shochiku,Funimation,Production I.G,Novel,"Action, Drama, Sci-Fi",Action,Unknown,All,25 min. per ep.,25 ,R - 17+ (violence & profanity),2082,https://myanimelist.net/anime/31433/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Kaikou
124,124,1025,IDOLiSH7,7.72,16957,TV,17,Finished Airing,"Jan 7, 2018 to May 19, 2018",2018,Winter 2018,Winter,Sundays at 22:30 (JST),Sundays,"Bandai Visual, Lantis, Bandai Namco Games","None found, add some",TROYCA,Game,,Unknown,Music,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2486,https://myanimelist.net/anime/33899/IDOLiSH7
125,125,1026,Karakai Jouzu no Takagi-san,7.72,234893,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",2018,Winter 2018,Winter,Mondays at 23:00 (JST),Mondays,"TMS Entertainment, Asatsu DK, Asmik Ace, TOHO animation, JR East Marketing & Communications",Funimation,Shin-Ei Animation,Manga,"Comedy, Romance, Slice of Life",Comedy,School,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,349,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
130,130,1031,Mujin Wakusei Survive,7.72,8756,TV,52,Finished Airing,"Oct 16, 2003 to Oct 28, 2004",2003,Fall 2003,Fall,Unknown,Unknown,"None found, add some","None found, add some","Madhouse, Telecom Animation Film",Original,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",Action,Unknown,All,25 min. per ep.,25 ,G - All Ages,3642,https://myanimelist.net/anime/709/Mujin_Wakusei_Survive
131,131,1032,New Game!!,7.72,114925,TV,12,Finished Airing,"Jul 11, 2017 to Sep 26, 2017",2017,Summer 2017,Summer,Tuesdays at 21:30 (JST),Tuesdays,"Frontier Works, Media Factory, Movic, AT-X, Sony Music Communications, Houbunsha, MAGES., Lawson","Funimation, Crunchyroll",Doga Kobo,4-koma manga,"Comedy, Slice of Life",Comedy,Game,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,812,https://myanimelist.net/anime/34914/New_Game
138,138,1039,Taiyou no Ko Esteban,7.72,4661,TV,39,Finished Airing,"Jun 29, 1982 to Jun 7, 1983",1982,Summer 1982,Summer,Unknown,Unknown,DiC Entertainment,"None found, add some",Studio Pierrot,Novel,"Adventure, Sci-Fi",Adventure,Historical,All,27 min. per ep.,27 ,PG-13 - Teens 13 or older,5189,https://myanimelist.net/anime/1279/Taiyou_no_Ko_Esteban
141,141,1042,Panty & Stocking with Garterbelt,7.71,163275,TV,13,Finished Airing,"Oct 2, 2010 to Dec 25, 2010",2010,Fall 2010,Fall,Unknown,Unknown,"Kadokawa Shoten, Half H.P Studio, AT-X, Kadokawa Pictures Japan, KlockWorx, flying DOG, Kadokawa Contents Gate",Funimation,Gainax,Original,"Action, Comedy, Supernatural, Ecchi",Action,Parody,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),536,https://myanimelist.net/anime/8795/Panty___Stocking_with_Garterbelt
143,143,1044,Senpai ga Uzai Kouhai no Hanashi,7.71,90257,TV,12,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",2021,Fall 2021,Fall,Sundays at 01:00 (JST),Sundays,King Records,Funimation,Doga Kobo,Manga,"Comedy, Romance, Slice of Life",Comedy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,839,https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi
145,145,1046,Turn A Gundam,7.71,13311,TV,50,Finished Airing,"Apr 9, 1999 to Apr 14, 2000",1999,Spring 1999,Spring,Fridays at 17:00 (JST),Fridays,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,"Action, Adventure, Drama, Romance, Sci-Fi",Action,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2873,https://myanimelist.net/anime/95/Turn_A_Gundam
146,146,1047,Watashi no Ashinaga Ojisan,7.71,5439,TV,40,Finished Airing,"Jan 4, 1990 to Dec 23, 1990",1990,Winter 1990,Winter,Sundays at 19:30 (JST),Sundays,"None found, add some","None found, add some",Nippon Animation,Novel,"Comedy, Romance, Slice of Life",Comedy,Unknown,Shoujo,23 min. per ep.,23 ,G - All Ages,4734,https://myanimelist.net/anime/1375/Watashi_no_Ashinaga_Ojisan
148,148,1049,Akage no Anne,7.71,7601,TV,50,Finished Airing,"Jan 7, 1979 to Dec 30, 1979",1979,Winter 1979,Winter,Sundays at 19:30 (JST),Sundays,"None found, add some","None found, add some",Nippon Animation,Novel,"Drama, Slice of Life",Drama,Historical,All,25 min. per ep.,25 ,G - All Ages,3597,https://myanimelist.net/anime/283/Akage_no_Anne
149,149,1050,Aoi Bungaku Series,7.71,56179,TV,12,Finished Airing,"Oct 11, 2009 to Dec 27, 2009",2009,Fall 2009,Fall,Unknown,Unknown,"Movic, Happinet Pictures, RAY","None found, add some",Madhouse,Novel,"Drama, Suspense",Drama,Unknown,Seinen,23 min. per ep.,23 ,R - 17+ (violence & profanity),956,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series
150,150,1051,Baka to Test to Shoukanjuu Ni!,7.71,207734,TV,13,Finished Airing,"Jul 8, 2011 to Sep 30, 2011",2011,Summer 2011,Summer,Fridays at Unknown,Fridays,"Lantis, Media Factory, Enterbrain, Cospa, Kadokawa Contents Gate, TV Tokyo Music, PRA, T.O Entertainment, Hakuhodo DY Media Partners",Funimation,SILVER LINK.,Light novel,"Comedy, Romance",Comedy,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,515,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni
153,153,1054,Doupo Cangqiong 3rd Season,7.71,2527,ONA,12,Finished Airing,"Jul 21, 2019 to Sep 29, 2019",2019,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Motion Magic,Novel,"Action, Adventure, Fantasy, Romance, Supernatural",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,7015,https://myanimelist.net/anime/38436/Doupo_Cangqiong_3rd_Season
154,154,1055,Dragon Ball Kai,7.71,197159,TV,97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",2009,Spring 2009,Spring,Sundays at 09:00 (JST),Sundays,"None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Action,Unknown,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,545,https://myanimelist.net/anime/6033/Dragon_Ball_Kai
156,156,1057,Gakkou no Kaidan,7.71,64719,TV,19,Finished Airing,"Oct 22, 2000 to Mar 25, 2001",2000,Fall 2000,Fall,Saturdays at 19:30 (JST),Saturdays,"Aniplex, Fuji TV","ADV Films, Discotek Media",Studio Pierrot,Original,"Horror, Mystery, Supernatural",Horror,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1162,https://myanimelist.net/anime/1281/Gakkou_no_Kaidan
158,158,1059,Hanasakeru Seishounen,7.71,22262,TV,39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",2009,Spring 2009,Spring,Unknown,Unknown,"None found, add some",Discotek Media,Studio Pierrot,Manga,"Drama, Romance",Drama,Unknown,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2248,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen
159,159,1060,Hourou Musuko,7.71,36504,TV,11,Finished Airing,"Jan 14, 2011 to Apr 1, 2011",2011,Winter 2011,Winter,Fridays at 01:15 (JST),Fridays,"Aniplex, AIC, Dentsu, Fuji TV, Magic Capsule, Enterbrain, Fujipacific Music","None found, add some",AIC Classic,Manga,"Drama, Romance, Slice of Life",Drama,School,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1473,https://myanimelist.net/anime/8426/Hourou_Musuko
160,160,1061,Joshikousei no Mudazukai,7.71,37358,TV,12,Finished Airing,"Jul 5, 2019 to Sep 20, 2019",2019,Summer 2019,Summer,Fridays at 21:30 (JST),Fridays,"AT-X, Kadokawa Media House, Kadokawa",Sentai Filmworks,Passione,Web manga,,Unknown,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1708,https://myanimelist.net/anime/38619/Joshikousei_no_Mudazukai
161,161,1062,Jujutsu Kaisen,7.71,9325,ONA,3,Finished Airing,"Dec 3, 2018 to Dec 8, 2018",2018,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Yokohama Animation Lab,Manga,,Unknown,Unknown,Shounen,1 min. per ep.,1 ,G - All Ages,2918,https://myanimelist.net/anime/38777/Jujutsu_Kaisen
164,164,1065,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,7.7,22210,ONA,8,Finished Airing,"Mar 11, 2016 to May 20, 2016",2016,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Lerche,Manga,"Action, Comedy",Action,School,Shounen,5 min. per ep.,5 ,PG-13 - Teens 13 or older,2274,https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu_2nd_Season__Kagaijugyou-hen
166,166,1067,Bishoujo Senshi Sailor Moon,7.7,154772,TV,46,Finished Airing,"Mar 7, 1992 to Feb 27, 1993",1992,Spring 1992,Spring,Unknown,Unknown,"TV Asahi, Toei Agency","ADV Films, VIZ Media, DiC Entertainment",Toei Animation,Manga,,Unknown,Demons,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,542,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon
168,168,1069,Bishoujo Senshi Sailor Moon R,7.7,75498,TV,43,Finished Airing,"Mar 6, 1993 to Mar 12, 1994",1993,Spring 1993,Spring,Unknown,Unknown,"TV Asahi, Toei Agency","ADV Films, VIZ Media, DiC Entertainment",Toei Animation,Manga,,Unknown,Demons,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1311,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R
170,170,1071,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7.7,390317,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",2015,Summer 2015,Summer,Saturdays at 00:30 (JST),Saturdays,"Genco, Magic Capsule, Warner Bros. Japan, KlockWorx, Showgate, Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Action,Military,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),214,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
171,171,1072,Heion Sedai no Idaten-tachi,7.7,47116,TV,11,Finished Airing,"Jul 23, 2021 to Sep 28, 2021",2021,Summer 2021,Summer,Fridays at 00:55 (JST),Fridays,"Aniplex, Dentsu, Hakusensha, Fuji TV, GREE Entertainment","None found, add some",MAPPA,Manga,"Adventure, Fantasy",Adventure,Demons,Seinen,22 min. per ep.,22 ,R - 17+ (violence & profanity),1348,https://myanimelist.net/anime/42625/Heion_Sedai_no_Idaten-tachi
174,174,1075,Mobile Suit Gundam Wing,7.7,79602,TV,49,Finished Airing,"Apr 7, 1995 to Mar 29, 1996",1995,Spring 1995,Spring,Fridays at 17:00 (JST),Fridays,TV Asahi,Bandai Entertainment,Sunrise,Original,"Action, Drama, Sci-Fi",Action,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1260,https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing
176,176,1077,Princess Principal,7.7,66432,TV,12,Finished Airing,"Jul 9, 2017 to Sep 24, 2017",2017,Summer 2017,Summer,Sundays at 23:00 (JST),Sundays,"Bandai Visual, Lantis, Movic, Tokyo MX, Q-Tec, Hakuhodo DY Music & Pictures, Medicos Entertainment",Sentai Filmworks,"Actas, Studio 3Hz",Original,"Action, Mystery",Action,Historical,All,25 min. per ep.,25 ,R - 17+ (violence & profanity),1020,https://myanimelist.net/anime/35240/Princess_Principal
177,177,1078,Seitokai Yakuindomo*,7.7,111157,TV,13,Finished Airing,"Jan 4, 2014 to Mar 30, 2014",2014,Winter 2014,Winter,Unknown,Unknown,Starchild Records,Sentai Filmworks,GoHands,4-koma manga,"Comedy, Slice of Life",Comedy,School,Shounen,23 min. per ep.,23 ,R - 17+ (violence & profanity),818,https://myanimelist.net/anime/20847/Seitokai_Yakuindomo
178,178,1079,Seto no Hanayome,7.7,127029,TV,26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",2007,Spring 2007,Spring,Mondays at 02:00 (JST),Mondays,"TV Tokyo, Square Enix, Sotsu",Funimation,"Gonzo, AIC",Manga,"Comedy, Romance",Comedy,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,605,https://myanimelist.net/anime/2104/Seto_no_Hanayome
180,180,1081,Soukou Kihei Votoms,7.7,4712,TV,52,Finished Airing,"Apr 1, 1983 to Mar 23, 1984",1983,Spring 1983,Spring,Unknown,Unknown,TV Tokyo,"Central Park Media, Maiden Japan",Sunrise,Original,"Action, Drama, Sci-Fi",Action,Unknown,All,25 min. per ep.,25 ,PG-13 - Teens 13 or older,4032,https://myanimelist.net/anime/2582/Soukou_Kihei_Votoms
